County,2022 Registered Motor Vehicles,2022 Registered Passenger Vehicles,"2022 Registered Passenger Vehicles, Percent",2022 Registered Trucks,"2022 Registered Trucks, Percent",2022 Registered Trailers,"2022 Registered Trailers, Percent",2022 Registered Motorcycles,"2022 Registered Motorcycles, Percent",2022 Registered Buses,"2022 Registered Buses, Percent",2022 Registered Other Vehicles,"2022 Registered Other Vehicles, Percent","2017-2021 Occupied Housing Units, No Vehicles Available, Percent","2017-2021 Occupied Housing Units, One Vehicle Available, Percent","2017-2021 Occupied Housing Units, Two Vehicles Available, Percent","2017-2021 Occupied Housing Units, Three Vehicles Available, Percent","2017-2021 Occupied Housing Units, Four Vehicles Available, Percent","2017-2021 Occupied Housing Units, Five or More Vehicles Available, Percent"
DODGE,"21,807","10,083",46.2%,"6,547",30.0%,"4,759",21.8%,325,1.5%,93,0.4%,0,0.0%,7.6%,31.4%,34.3%,16.9%,6.2%,3.7%
DOOLY,"11,713","5,686",48.5%,"3,358",28.7%,"2,409",20.6%,203,1.7%,57,0.5%,0,0.0%,12.0%,36.2%,28.2%,11.5%,7.8%,4.3%
DOUGHERTY,"76,658","49,765",64.9%,"15,857",20.7%,"9,710",12.7%,"1,012",1.3%,314,0.4%,0,0.0%,11.1%,43.0%,30.3%,10.7%,3.4%,1.5%
DOUGLAS,"130,545","87,683",67.2%,"25,311",19.4%,"13,883",10.6%,"3,174",2.4%,493,0.4%,1,0.0%,4.1%,28.5%,40.2%,17.2%,6.9%,3.0%
EARLY,"15,745","6,155",39.1%,"3,700",23.5%,"5,676",36.0%,168,1.1%,44,0.3%,2,0.0%,10.4%,35.6%,26.0%,17.3%,6.2%,4.5%
ECHOLS,"5,308","1,826",34.4%,"1,742",32.8%,"1,572",29.6%,73,1.4%,95,1.8%,0,0.0%,2.4%,25.2%,35.4%,29.1%,5.3%,2.6%
EFFINGHAM,"81,649","42,184",51.7%,"20,639",25.3%,"16,081",19.7%,"2,523",3.1%,222,0.3%,0,0.0%,2.7%,21.4%,49.0%,18.8%,5.7%,2.4%
ELBERT,"26,218","12,501",47.7%,"7,750",29.6%,"5,323",20.3%,537,2.0%,107,0.4%,0,0.0%,9.8%,32.3%,33.4%,15.9%,6.5%,2.1%
EMANUEL,"27,045","12,890",47.7%,"8,194",30.3%,"5,416",20.0%,439,1.6%,106,0.4%,0,0.0%,8.9%,33.8%,36.0%,15.4%,4.0%,1.8%
EVANS,"11,852","5,562",46.9%,"3,728",31.5%,"2,280",19.2%,231,1.9%,51,0.4%,0,0.0%,4.3%,44.9%,29.8%,14.6%,4.5%,1.9%
FANNIN,"38,089","18,398",48.3%,"10,733",28.2%,"7,409",19.5%,"1,436",3.8%,113,0.3%,0,0.0%,4.3%,28.9%,39.2%,18.2%,5.4%,3.9%
FAYETTE,"132,669","86,587",65.3%,"25,688",19.4%,"16,929",12.8%,"3,067",2.3%,398,0.3%,0,0.0%,3.0%,23.5%,40.5%,21.1%,7.7%,4.2%
FLOYD,"104,133","58,742",56.4%,"26,267",25.2%,"16,028",15.4%,"2,508",2.4%,587,0.6%,1,0.0%,8.8%,30.2%,34.1%,18.9%,5.3%,2.7%
FORSYTH,"246,830","170,238",69.0%,"43,492",17.6%,"26,876",10.9%,"5,582",2.3%,642,0.3%,0,0.0%,1.7%,20.1%,49.6%,19.3%,7.0%,2.3%
FRANKLIN,"32,697","15,040",46.0%,"9,663",29.6%,"7,134",21.8%,776,2.4%,84,0.3%,0,0.0%,4.6%,27.2%,30.2%,23.0%,10.5%,4.5%
FULTON,"799,050","664,413",83.2%,"88,973",11.1%,"30,305",3.8%,"11,027",1.4%,"4,328",0.5%,4,0.0%,10.6%,40.7%,34.6%,10.0%,3.0%,1.1%
GILMER,"43,085","21,724",50.4%,"12,068",28.0%,"7,694",17.9%,"1,496",3.5%,103,0.2%,0,0.0%,4.0%,30.7%,35.6%,18.4%,8.2%,3.2%
GLASCOCK,"4,240","1,601",37.8%,"1,426",33.6%,"1,145",27.0%,51,1.2%,17,0.4%,0,0.0%,10.4%,21.1%,34.4%,16.8%,12.4%,4.7%
GLYNN,"90,713","56,873",62.7%,"19,511",21.5%,"12,214",13.5%,"1,797",2.0%,318,0.4%,0,0.0%,6.1%,36.5%,34.9%,16.2%,5.2%,1.2%
GORDON,"71,069","35,936",50.6%,"19,176",27.0%,"13,878",19.5%,"1,899",2.7%,180,0.3%,0,0.0%,5.9%,30.3%,37.3%,16.7%,7.5%,2.4%
GRADY,"30,253","14,339",47.4%,"8,494",28.1%,"6,854",22.7%,482,1.6%,84,0.3%,0,0.0%,6.6%,33.8%,36.5%,16.7%,5.1%,1.4%
GREENE,"26,486","15,392",58.1%,"6,107",23.1%,"4,544",17.2%,358,1.4%,85,0.3%,0,0.0%,3.4%,35.7%,36.9%,16.2%,4.4%,3.5%
GWINNETT,"810,545","613,101",75.6%,"127,453",15.7%,"53,949",6.7%,"13,000",1.6%,"3,040",0.4%,2,0.0%,3.0%,29.1%,41.9%,17.7%,6.0%,2.3%
HABERSHAM,"57,095","29,254",51.2%,"15,311",26.8%,"10,823",19.0%,"1,472",2.6%,235,0.4%,0,0.0%,4.1%,28.9%,34.5%,22.7%,6.5%,3.4%
HALL,"236,722","142,208",60.1%,"54,927",23.2%,"33,578",14.2%,"5,332",2.3%,676,0.3%,1,0.0%,5.8%,26.2%,38.4%,18.9%,7.3%,3.4%
HANCOCK,"10,327","5,611",54.3%,"2,647",25.6%,"1,829",17.7%,168,1.6%,72,0.7%,0,0.0%,14.0%,33.6%,27.4%,13.7%,6.7%,4.6%
HARALSON,"39,893","18,744",47.0%,"11,838",29.7%,"8,084",20.3%,"1,136",2.8%,91,0.2%,0,0.0%,3.3%,24.5%,40.3%,19.7%,9.3%,2.8%
HARRIS,"48,097","24,527",51.0%,"12,539",26.1%,"9,709",20.2%,"1,183",2.5%,139,0.3%,0,0.0%,1.9%,18.9%,42.9%,22.0%,8.8%,5.5%
HART,"36,904","18,369",49.8%,"9,913",26.9%,"7,677",20.8%,875,2.4%,69,0.2%,1,0.0%,6.0%,27.3%,34.2%,21.2%,7.2%,4.1%
HEARD,"16,927","7,193",42.5%,"5,118",30.2%,"4,122",24.4%,439,2.6%,55,0.3%,0,0.0%,5.7%,25.8%,41.3%,18.6%,4.1%,4.4%
HENRY,"227,359","153,901",67.7%,"41,079",18.1%,"26,202",11.5%,"5,525",2.4%,652,0.3%,0,0.0%,2.2%,29.3%,40.0%,17.9%,7.4%,3.3%
HOUSTON,"165,415","106,187",64.2%,"33,733",20.4%,"21,199",12.8%,"3,799",2.3%,497,0.3%,0,0.0%,4.1%,30.6%,38.6%,16.6%,7.2%,2.8%
IRWIN,"11,507","4,948",43.0%,"3,845",33.4%,"2,494",21.7%,169,1.5%,51,0.4%,0,0.0%,8.1%,29.5%,35.7%,21.3%,3.9%,1.6%
JACKSON,"98,820","53,933",54.6%,"24,292",24.6%,"17,618",17.8%,"2,651",2.7%,326,0.3%,0,0.0%,3.5%,19.6%,42.9%,21.6%,8.0%,4.5%
JASPER,"23,141","10,245",44.3%,"6,479",28.0%,"5,730",24.8%,608,2.6%,79,0.3%,0,0.0%,1.2%,26.1%,36.2%,21.6%,9.5%,5.3%
JEFF DAVIS,"18,004","7,463",41.5%,"5,786",32.1%,"4,459",24.8%,224,1.2%,72,0.4%,0,0.0%,8.2%,32.5%,37.6%,15.8%,5.5%,0.5%
JEFFERSON,"20,428","10,103",49.5%,"5,905",28.9%,"4,080",20.0%,239,1.2%,101,0.5%,0,0.0%,10.3%,31.0%,31.8%,13.9%,6.5%,6.5%
JENKINS,"9,195","4,209",45.8%,"2,930",31.9%,"1,891",20.6%,114,1.2%,51,0.6%,0,0.0%,4.7%,25.8%,48.1%,12.7%,4.5%,4.0%
JOHNSON,"10,403","4,600",44.2%,"3,358",32.3%,"2,262",21.7%,146,1.4%,37,0.4%,0,0.0%,7.3%,29.3%,35.3%,17.7%,8.0%,2.5%
JONES,"36,342","18,178",50.0%,"9,718",26.7%,"7,513",20.7%,792,2.2%,141,0.4%,0,0.0%,4.6%,21.5%,34.7%,25.6%,8.9%,4.7%
LAMAR,"24,809","11,965",48.2%,"6,704",27.0%,"5,448",22.0%,648,2.6%,43,0.2%,1,0.0%,3.2%,28.3%,39.2%,19.1%,8.3%,1.9%
LANIER,"10,065","4,779",47.5%,"2,963",29.4%,"2,036",20.2%,241,2.4%,46,0.5%,0,0.0%,9.1%,29.1%,32.6%,16.4%,7.5%,5.3%
LAURENS,"58,191","30,008",51.6%,"16,568",28.5%,"10,436",17.9%,964,1.7%,215,0.4%,0,0.0%,6.0%,40.2%,32.8%,11.4%,6.5%,3.0%
LEE,"39,232","20,104",51.2%,"9,629",24.5%,"8,579",21.9%,786,2.0%,134,0.3%,0,0.0%,2.5%,25.9%,40.3%,23.4%,5.6%,2.2%
LIBERTY,"61,862","41,602",67.2%,"11,921",19.3%,"6,325",10.2%,"1,772",2.9%,242,0.4%,0,0.0%,5.8%,38.5%,34.8%,13.7%,5.4%,1.8%
LINCOLN,"12,407","5,502",44.3%,"3,533",28.5%,"3,131",25.2%,195,1.6%,46,0.4%,0,0.0%,7.8%,32.7%,31.2%,16.4%,6.4%,5.5%
LONG,"18,966","9,959",52.5%,"4,938",26.0%,"3,398",17.9%,589,3.1%,82,0.4%,0,0.0%,9.0%,25.6%,40.0%,18.3%,5.1%,2.1%
LOWNDES,"109,561","64,161",58.6%,"25,663",23.4%,"16,908",15.4%,"2,375",2.2%,453,0.4%,1,0.0%,7.7%,35.0%,37.8%,13.4%,4.2%,2.0%
LUMPKIN,"40,243","20,633",51.3%,"10,735",26.7%,"7,103",17.7%,"1,647",4.1%,124,0.3%,1,0.0%,2.5%,24.0%,37.7%,23.8%,8.9%,3.2%
MACON,"12,606","6,463",51.3%,"3,543",28.1%,"2,333",18.5%,193,1.5%,74,0.6%,0,0.0%,11.6%,36.5%,33.3%,12.3%,3.8%,2.5%
MADISON,"43,239","20,044",46.4%,"12,313",28.5%,"9,917",22.9%,850,2.0%,115,0.3%,0,0.0%,4.1%,24.6%,35.6%,20.8%,10.9%,4.0%
MARION,"9,976","4,409",44.2%,"3,014",30.2%,"2,332",23.4%,162,1.6%,59,0.6%,0,0.0%,6.5%,33.1%,29.9%,19.1%,6.4%,5.1%
MCDUFFIE,"27,879","14,152",50.8%,"7,495",26.9%,"5,583",20.0%,552,2.0%,97,0.3%,0,0.0%,6.7%,28.3%,34.4%,19.5%,7.3%,3.8%
MCINTOSH,"15,942","8,092",50.8%,"4,384",27.5%,"3,065",19.2%,353,2.2%,48,0.3%,0,0.0%,7.5%,25.4%,39.7%,16.1%,9.0%,2.3%
MERIWETHER,"31,553","15,632",49.5%,"8,385",26.6%,"6,664",21.1%,761,2.4%,111,0.4%,0,0.0%,7.9%,32.8%,29.2%,17.2%,9.0%,3.8%
MILLER,"7,380","3,144",42.6%,"2,375",32.2%,"1,735",23.5%,92,1.2%,34,0.5%,0,0.0%,13.0%,30.3%,29.6%,17.3%,5.6%,4.3%
MITCHELL,"25,361","11,817",46.6%,"7,134",28.1%,"6,002",23.7%,296,1.2%,112,0.4%,0,0.0%,14.3%,30.7%,33.9%,15.3%,4.7%,1.0%
MONROE,"42,490","20,618",48.5%,"11,318",26.6%,"9,453",22.2%,882,2.1%,219,0.5%,0,0.0%,2.8%,23.5%,38.1%,21.8%,7.6%,6.1%
MONTGOMERY,"10,259","4,497",43.8%,"3,187",31.1%,"2,363",23.0%,178,1.7%,34,0.3%,0,0.0%,6.1%,31.0%,36.6%,12.5%,12.3%,1.4%
MORGAN,"32,579","14,681",45.1%,"9,448",29.0%,"7,661",23.5%,695,2.1%,94,0.3%,0,0.0%,4.2%,20.1%,40.7%,22.2%,9.7%,3.1%
MURRAY,"46,286","22,968",49.6%,"13,317",28.8%,"8,590",18.6%,"1,277",2.8%,134,0.3%,0,0.0%,5.0%,25.0%,35.8%,18.5%,10.5%,5.1%
MUSCOGEE,"171,671","124,805",72.7%,"32,823",19.1%,"10,392",6.1%,"2,917",1.7%,734,0.4%,0,0.0%,10.2%,38.2%,34.1%,11.9%,4.0%,1.5%
NEWTON,"127,854","81,268",63.6%,"26,406",20.7%,"16,841",13.2%,"3,027",2.4%,312,0.2%,0,0.0%,4.8%,24.6%,40.0%,21.3%,6.2%,3.1%
OCONEE,"51,381","29,751",57.9%,"11,943",23.2%,"8,717",17.0%,818,1.6%,152,0.3%,0,0.0%,0.9%,16.2%,44.8%,23.5%,11.4%,3.1%
OGLETHORPE,"22,809","10,556",46.3%,"6,434",28.2%,"5,324",23.3%,418,1.8%,77,0.3%,0,0.0%,3.0%,23.7%,38.4%,22.5%,7.1%,5.3%
PAULDING,"166,243","103,444",62.2%,"34,915",21.0%,"22,696",13.7%,"4,715",2.8%,473,0.3%,0,0.0%,2.5%,21.1%,45.6%,20.3%,7.3%,3.2%
PEACH,"32,146","16,998",52.9%,"8,134",25.3%,"6,248",19.4%,633,2.0%,132,0.4%,1,0.0%,8.5%,34.3%,29.8%,18.8%,6.7%,1.9%
PICKENS,"46,483","24,136",51.9%,"12,367",26.6%,"8,136",17.5%,"1,703",3.7%,141,0.3%,0,0.0%,3.1%,22.8%,40.8%,22.2%,6.7%,4.3%
PIERCE,"25,121","10,384",41.3%,"7,873",31.3%,"6,388",25.4%,398,1.6%,78,0.3%,0,0.0%,4.0%,28.4%,43.3%,15.9%,7.3%,1.1%
PIKE,"31,537","13,526",42.9%,"8,988",28.5%,"8,036",25.5%,882,2.8%,105,0.3%,0,0.0%,2.6%,19.5%,34.8%,22.7%,11.0%,9.2%
POLK,"49,561","25,367",51.2%,"13,981",28.2%,"8,673",17.5%,"1,414",2.9%,126,0.3%,0,0.0%,5.9%,30.4%,35.1%,17.8%,7.7%,3.1%
PULASKI,"10,987","5,181",47.2%,"3,121",28.4%,"2,429",22.1%,212,1.9%,44,0.4%,0,0.0%,9.4%,35.7%,31.2%,14.2%,4.8%,4.7%
PUTNAM,"32,765","15,915",48.6%,"8,696",26.5%,"7,502",22.9%,557,1.7%,95,0.3%,0,0.0%,3.9%,32.9%,35.3%,18.2%,6.8%,2.9%
QUITMAN,"2,829","1,236",43.7%,817,28.9%,716,25.3%,50,1.8%,10,0.4%,0,0.0%,14.1%,40.4%,29.0%,11.2%,3.0%,2.4%
RABUN,"25,603","12,201",47.7%,"7,653",29.9%,"4,915",19.2%,730,2.9%,104,0.4%,0,0.0%,5.2%,28.1%,40.8%,18.0%,4.8%,3.1%
RANDOLPH,"7,994","3,684",46.1%,"2,311",28.9%,"1,881",23.5%,81,1.0%,37,0.5%,0,0.0%,19.2%,35.5%,30.3%,11.0%,2.7%,1.3%
RICHMOND,"172,365","122,736",71.2%,"33,004",19.1%,"13,020",7.6%,"2,961",1.7%,644,0.4%,0,0.0%,10.3%,41.2%,30.5%,12.2%,4.4%,1.4%
ROCKDALE,"85,008","55,641",65.5%,"17,082",20.1%,"10,079",11.9%,"1,853",2.2%,353,0.4%,0,0.0%,3.3%,35.3%,34.7%,17.1%,7.0%,2.6%
SCHLEY,"5,988","2,540",42.4%,"1,846",30.8%,"1,460",24.4%,113,1.9%,29,0.5%,0,0.0%,4.7%,31.8%,31.8%,23.4%,5.7%,2.6%
SCREVEN,"18,351","8,806",48.0%,"5,480",29.9%,"3,713",20.2%,284,1.5%,68,0.4%,0,0.0%,5.6%,26.7%,39.8%,16.1%,9.6%,2.3%
SEMINOLE,"11,568","4,954",42.8%,"3,366",29.1%,"3,033",26.2%,173,1.5%,42,0.4%,0,0.0%,9.1%,35.0%,28.1%,21.7%,4.8%,1.3%
SPALDING,"76,081","45,245",59.5%,"17,097",22.5%,"11,751",15.4%,"1,750",2.3%,236,0.3%,2,0.0%,6.2%,33.9%,35.4%,16.2%,5.7%,2.6%
STEPHENS,"32,915","17,084",51.9%,"8,812",26.8%,"5,970",18.1%,919,2.8%,130,0.4%,0,0.0%,4.7%,25.7%,37.9%,18.5%,7.2%,6.0%
STEWART,"4,548","2,448",53.8%,"1,218",26.8%,795,17.5%,61,1.3%,26,0.6%,0,0.0%,11.5%,35.3%,33.2%,14.2%,3.3%,2.5%
SUMTER,"31,320","16,876",53.9%,"8,071",25.8%,"5,821",18.6%,415,1.3%,137,0.4%,0,0.0%,10.2%,35.6%,31.6%,16.0%,3.9%,2.7%
TALBOT,"9,114","4,530",49.7%,"2,461",27.0%,"1,942",21.3%,158,1.7%,23,0.3%,0,0.0%,12.8%,29.6%,26.8%,20.4%,7.3%,3.1%
TALIAFERRO,"2,354","1,143",48.6%,677,28.8%,476,20.2%,46,2.0%,12,0.5%,0,0.0%,8.6%,32.2%,28.1%,17.4%,12.4%,1.3%
TATTNALL,"24,163","10,721",44.4%,"7,742",32.0%,"5,124",21.2%,411,1.7%,165,0.7%,0,0.0%,6.5%,32.7%,34.7%,19.5%,4.9%,1.7%
TAYLOR,"10,046","4,602",45.8%,"2,987",29.7%,"2,250",22.4%,162,1.6%,45,0.4%,0,0.0%,10.1%,37.1%,31.4%,13.3%,4.8%,3.3%
TELFAIR,"12,611","5,471",43.4%,"3,788",30.0%,"3,114",24.7%,171,1.4%,67,0.5%,0,0.0%,9.9%,37.5%,32.7%,12.7%,3.2%,4.0%
TERRELL,"12,167","5,693",46.8%,"3,100",25.5%,"3,155",25.9%,157,1.3%,62,0.5%,0,0.0%,9.6%,32.1%,36.8%,16.8%,3.3%,1.3%
THOMAS,"49,456","27,516",55.6%,"12,494",25.3%,"8,434",17.1%,824,1.7%,188,0.4%,0,0.0%,4.6%,35.7%,37.0%,16.0%,4.2%,2.5%
TIFT,"45,765","23,759",51.9%,"12,757",27.9%,"8,319",18.2%,694,1.5%,236,0.5%,0,0.0%,9.2%,37.0%,34.3%,13.9%,4.7%,0.9%
TOOMBS,"30,878","14,710",47.6%,"9,237",29.9%,"6,268",20.3%,497,1.6%,166,0.5%,0,0.0%,8.8%,33.7%,36.3%,15.1%,4.7%,1.4%
TOWNS,"19,835","9,551",48.2%,"5,291",26.7%,"4,274",21.5%,670,3.4%,49,0.2%,0,0.0%,3.0%,27.8%,45.8%,16.7%,4.2%,2.6%
TREUTLEN,"7,936","3,523",44.4%,"2,568",32.4%,"1,657",20.9%,152,1.9%,36,0.5%,0,0.0%,12.9%,31.0%,30.0%,17.1%,5.3%,3.8%
TROUP,"76,659","44,710",58.3%,"18,516",24.2%,"11,760",15.3%,"1,443",1.9%,230,0.3%,0,0.0%,9.1%,33.5%,33.5%,15.0%,6.8%,2.1%
TURNER,"10,061","4,837",48.1%,"2,982",29.6%,"2,037",20.2%,161,1.6%,44,0.4%,0,0.0%,8.9%,29.8%,39.1%,12.7%,7.1%,2.4%
TWIGGS,"10,829","5,261",48.6%,"3,094",28.6%,"2,226",20.6%,213,2.0%,35,0.3%,0,0.0%,8.6%,34.5%,26.3%,15.9%,7.3%,7.5%
